"No.","Time","MACSrc","Source","PortSrc","Protocol","MACDest","Destination","PortDst","Info","Length"
"340762","6571.588494","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1536, FN=0, Flags=....R...","30"
"341191","6580.464588","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Authentication, SN=1321, FN=0, Flags=........","30"
"341192","6580.465405","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:13:ce:5e:c5:02","IntelCor_5e:c5:02","","Authentication, SN=1911, FN=0, Flags=........","30"
"349168","6731.485546","00:12:0e:2b:7d:fa","Abocom_2b:7d:fa","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Authentication, SN=23, FN=0, Flags=........","30"
"349169","6731.486171","38:0e:34:36:3c:cc","38:0e:34:36:3c:cc","","802.11","00:12:0e:f0:68:cd","Abocom_f0:68:cd","","Authentication, SN=4007, FN=0, Flags=........","30"
"349391","6734.711677","00:11:f5:f1:7b:99","AskeyCom_f1:7b:99","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Authentication, SN=1, FN=0, Flags=........","30"
"349392","6734.712206","00:11:f5:f1:7b:99","AskeyCom_f1:7b:99","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Authentication, SN=1, FN=0, Flags=....R...","30"
"349393","6734.713035","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:f1:7b:99","AskeyCom_f1:7b:99","","Authentication, SN=102, FN=0, Flags=........","30"
"349394","6734.714004","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:f1:7b:99","AskeyCom_f1:7b:99","","Authentication, SN=102, FN=0, Flags=....R...","30"
"349396","6734.714825","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:f1:7b:99","AskeyCom_f1:7b:99","","Authentication, SN=102, FN=0, Flags=....R...","30"
"354940","6826.368213","00:0b:6c:5a:fa:22","Sychip_5a:fa:22","","802.11","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","Authentication, SN=33, FN=0, Flags=........","30"
"354941","6826.368839","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:0b:6c:5a:fa:22","Sychip_5a:fa:22","","Authentication, SN=1088, FN=0, Flags=........","30"
"355963","6851.649754","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=2121, FN=0, Flags=........","30"
"355964","6851.650390","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=2121, FN=0, Flags=....R...","30"
"355965","6851.651071","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=2121, FN=0, Flags=....R...","30"
"355966","6851.651897","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=2121, FN=0, Flags=....R...","30"
"355967","6851.652683","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=2121, FN=0, Flags=....R...","30"
"355968","6851.654537","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=2121, FN=0, Flags=....R...","30"
"355969","6851.656377","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=2121, FN=0, Flags=....R...","30"
"355970","6851.657084","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=2121, FN=0, Flags=....R...","30"
"359698","6909.315128","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1088, FN=0, Flags=........","30"
"359699","6909.315824","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1088, FN=0, Flags=....R...","30"
"359700","6909.316424","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1088, FN=0, Flags=....R...","30"
"359701","6909.317210","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1088, FN=0, Flags=....R...","30"
"359702","6909.318016","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1088, FN=0, Flags=....R...","30"
"359703","6909.318802","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1088, FN=0, Flags=....R...","30"
"359704","6909.319588","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1088, FN=0, Flags=....R...","30"
"359705","6909.320414","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1088, FN=0, Flags=....R...","30"
"359706","6909.394162","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1090, FN=0, Flags=........","30"
"359707","6909.394838","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1090, FN=0, Flags=....R...","30"
"359708","6909.395478","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1090, FN=0, Flags=....R...","30"
"359709","6909.396265","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1090, FN=0, Flags=....R...","30"
"359710","6909.397910","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1090, FN=0, Flags=....R...","30"
"359711","6909.398697","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1090, FN=0, Flags=....R...","30"
"359712","6909.399463","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1090, FN=0, Flags=....R...","30"
"359713","6909.400270","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1090, FN=0, Flags=....R...","30"
"359788","6909.608499","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1097, FN=0, Flags=........","30"
"359789","6909.609095","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1097, FN=0, Flags=....R...","30"
"359790","6909.609816","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1097, FN=0, Flags=....R...","30"
"359791","6909.610621","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1097, FN=0, Flags=....R...","30"
"359792","6909.611307","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1097, FN=0, Flags=....R...","30"
"359793","6909.614326","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1097, FN=0, Flags=....R...","30"
"359794","6909.615665","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1097, FN=0, Flags=....R...","30"
"359795","6909.616471","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:15:00:7b:f5:fb","IntelCor_7b:f5:fb","","Authentication, SN=1097, FN=0, Flags=....R...","30"
"362289","6960.723476","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=3777, FN=0, Flags=........","30"
"362290","6960.724092","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=3777, FN=0, Flags=....R...","30"
"362291","6960.724713","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=3777, FN=0, Flags=....R...","30"
"364119","6990.928999","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=........","30"
"364120","6990.929697","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364121","6990.930295","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364122","6990.931037","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364123","6990.931683","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364124","6990.932333","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364125","6990.932860","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364126","6990.933745","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364127","6990.934511","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364128","6990.935062","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364129","6990.935722","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364130","6990.936487","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364131","6990.937172","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364132","6990.937957","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364133","6990.938682","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364134","6990.943348","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364135","6990.944117","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364136","6990.944862","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364137","6990.945667","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364138","6990.946492","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364139","6990.947217","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364140","6990.949525","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364141","6990.950250","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
"364142","6990.950975","00:0f:34:bd:4f:0c","Cisco_bd:4f:0c","","802.11","00:11:f5:12:73:58","AskeyCom_12:73:58","","Authentication, SN=1195, FN=0, Flags=....R...","30"
